h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
872664d8effffff,11,39,13,7,11,35,27,1,0,0,4,8,18,14
872664d93ffffff,0,0,0,0,0,2,0,0,0,0,0,0,0,0
872664d98ffffff,3,9,7,1,3,12,5,4,0,0,1,14,9,7
872664d99ffffff,2,13,7,3,4,27,11,7,1,0,3,5,16,8
872664d9affffff,1,11,5,3,9,17,10,13,1,1,5,14,5,8
872664d9bffffff,8,17,9,7,13,32,18,14,0,0,11,20,20,13
872664d9dffffff,7,15,6,3,2,30,3,2,2,3,1,7,12,7
872664d9effffff,0,10,2,2,1,2,1,2,0,1,0,3,3,1
872664daaffffff,0,3,1,0,0,1,1,0,0,0,0,1,0,2
872759340ffffff,0,3,0,0,1,0,0,0,0,0,0,1,0,0
872759341ffffff,0,2,0,0,0,1,1,0,0,0,0,0,0,25
872759342ffffff,1,0,0,0,0,0,0,0,0,0,1,0,0,1
872759343ffffff,0,8,0,1,3,18,5,0,0,0,5,1,10,5
87275934affffff,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87275934cffffff,0,1,0,0,0,1,1,0,0,1,0,0,0,0
87275934dffffff,0,4,1,1,1,1,2,0,5,0,0,1,0,1
87275934effffff,0,34,0,3,21,83,20,4,0,1,15,37,45,8
87275935dffffff,0,0,0,0,0,0,0,0,0,0,0,3,0,0
872759368ffffff,0,1,0,0,1,0,1,0,0,0,0,0,0,0
872759369ffffff,3,15,8,0,4,12,5,3,0,0,0,0,6,3
87275936affffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87275936bffffff,0,5,4,1,2,4,1,1,3,4,1,0,0,2
87275936cffffff,1,0,2,0,0,0,0,0,0,0,0,0,0,0
87275936dffffff,3,6,4,0,5,15,3,3,2,0,5,7,6,2
