h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
882664575dfffff,0,3,0,0,0,0,0,0,0,0,1,0,0,0
882664576bfffff,0,0,1,0,1,2,0,1,0,0,0,1,0,2
882664c101fffff,0,6,2,10,1,19,6,7,2,1,6,5,5,5
882664c103fffff,0,6,1,56,1,11,1,1,1,0,0,2,2,5
882664c105fffff,0,4,4,3,3,48,7,9,0,1,13,7,19,5
882664c107fffff,0,5,5,9,4,73,8,3,1,0,18,7,7,3
882664c109fffff,0,0,0,2,0,0,0,0,1,0,0,0,0,1
882664c10bfffff,0,0,0,4,0,0,0,0,0,0,0,0,0,0
882664c10dfffff,0,7,3,4,3,51,5,6,0,0,12,13,17,5
882664c115fffff,0,0,2,27,0,3,1,0,5,1,2,0,0,1
882664c117fffff,0,1,1,6,0,0,0,0,0,0,0,0,0,2
882664c121fffff,2,1,6,1,3,19,1,4,2,0,6,11,14,5
882664c123fffff,3,2,4,2,2,14,4,8,2,0,4,8,17,1
882664c125fffff,3,1,0,2,2,8,5,5,0,1,0,7,17,7
882664c127fffff,1,1,1,0,2,10,3,0,1,0,7,2,10,3
882664c129fffff,1,2,5,1,0,23,2,2,0,0,12,2,8,5
882664c12bfffff,2,3,8,9,1,20,4,1,0,0,8,8,3,5
882664c12dfffff,0,3,2,0,2,14,5,2,0,0,2,4,2,4
882664c131fffff,2,2,2,3,3,20,3,9,1,0,6,12,24,8
882664c133fffff,0,8,2,0,0,4,2,2,0,0,0,1,4,5
882664c135fffff,4,0,0,3,0,17,7,4,3,0,2,8,27,4
882664c137fffff,4,0,0,6,0,10,5,1,1,0,2,2,7,4
882664c139fffff,0,5,0,8,2,15,2,0,2,0,4,3,0,3
882664c13bfffff,0,5,5,5,5,39,11,5,0,1,11,18,13,9
882664c13dfffff,0,5,4,1,6,41,4,4,0,1,10,10,8,4
882664c145fffff,0,0,2,1,0,3,0,0,1,0,0,0,1,0
882664c147fffff,0,1,0,0,0,0,0,0,1,0,0,0,0,0
882664c14dfffff,0,2,0,2,0,0,0,0,0,0,0,0,0,0
882664c161fffff,1,7,1,14,3,50,2,1,1,2,26,4,11,3
882664c163fffff,1,5,1,8,2,56,7,4,0,1,17,6,16,3
882664c165fffff,2,7,6,1,1,11,3,5,0,0,5,6,6,4
882664c167fffff,1,2,3,8,2,27,3,4,1,0,8,4,14,6
882664c169fffff,2,7,4,2,2,23,12,11,1,0,4,18,11,4
882664c16bfffff,1,8,4,18,4,24,10,7,0,2,19,19,10,8
882664c16dfffff,1,1,3,1,0,4,3,0,0,0,3,1,0,5
882664c185fffff,0,0,0,19,0,3,0,0,3,0,0,1,1,4
882664c187fffff,0,0,0,1,0,1,0,0,0,0,0,1,0,1
882664c18dfffff,0,4,0,9,0,4,0,0,10,0,0,2,1,9
882664c1a1fffff,0,4,2,43,8,51,8,2,0,6,6,5,3,12
882664c1a3fffff,1,2,3,5,2,22,6,5,0,3,0,10,12,4
882664c1a5fffff,0,8,5,8,1,38,5,5,0,2,3,13,3,10
882664c1a7fffff,1,4,1,4,7,22,6,7,1,0,1,4,31,8
882664c1a9fffff,0,17,10,44,28,175,17,15,1,19,17,11,70,16
882664c1abfffff,0,4,6,59,4,47,5,2,0,7,7,11,7,8
882664c1adfffff,2,3,6,9,16,131,10,5,0,4,12,19,15,27
882664c1b1fffff,0,2,0,3,0,0,0,0,0,0,1,2,0,3
882664c1b3fffff,0,0,0,4,0,2,0,0,0,0,0,0,0,0
882664c1b5fffff,4,5,4,4,2,14,2,7,0,0,6,5,2,3
882664c1b7fffff,1,2,3,10,2,16,3,2,0,4,4,3,1,8
882664c1b9fffff,0,0,0,9,0,0,0,0,0,0,0,0,0,1
882664c1bbfffff,0,0,0,2,0,0,0,0,0,0,0,0,0,0
882664c1bdfffff,0,5,1,20,1,16,1,0,0,1,0,5,2,5
882664c1c7fffff,0,4,0,29,0,9,2,0,0,1,12,8,2,12
882664c1e1fffff,6,10,6,11,10,169,13,12,4,39,22,15,79,12
882664c1e3fffff,0,4,5,23,5,84,10,11,4,23,21,9,20,24
882664c1e5fffff,1,5,2,7,2,52,5,5,0,0,11,10,8,9
882664c1e7fffff,1,5,1,16,10,151,11,4,1,17,48,10,22,14
882664c1e9fffff,0,0,0,1,1,15,1,1,0,8,4,3,28,2
882664c1ebfffff,0,4,4,9,4,29,4,3,1,3,4,3,3,5
882664c1edfffff,7,9,6,2,5,51,7,11,0,7,12,2,50,5
882664c327fffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
882664c801fffff,0,15,6,0,0,0,2,0,0,0,0,0,2,2
882664c803fffff,0,6,5,0,0,0,0,1,0,0,0,0,1,2
882664c805fffff,0,8,0,1,0,2,0,0,0,0,0,0,1,2
882664c807fffff,0,7,0,0,0,2,0,0,0,0,0,0,0,1
882664c809fffff,0,7,1,0,0,0,2,0,0,0,0,0,2,3
882664c80bfffff,0,13,0,0,0,5,2,0,0,0,0,0,1,2
882664c80dfffff,0,8,1,0,0,1,2,0,0,0,0,0,3,3
882664c811fffff,1,11,0,0,0,1,3,0,0,0,0,1,1,5
882664c813fffff,1,3,0,0,0,0,2,0,0,0,0,0,0,2
882664c815fffff,0,11,5,0,1,3,2,1,0,0,0,2,2,4
882664c817fffff,0,4,2,0,0,0,0,0,0,0,0,0,0,1
882664c819fffff,0,7,1,0,0,0,1,0,0,0,1,0,0,2
882664c81bfffff,0,6,1,1,0,0,1,0,0,0,0,0,2,2
882664c81dfffff,0,5,1,0,0,0,0,0,0,0,0,0,0,1
882664c831fffff,0,1,0,0,0,0,0,0,0,0,0,0,0,1
882664c833fffff,1,1,1,0,0,3,1,1,0,0,0,1,3,2
882664c839fffff,1,5,5,0,0,1,1,0,0,0,2,1,1,1
882664c83bfffff,0,7,2,0,0,0,0,1,0,0,0,0,0,2
882664c83dfffff,0,0,0,0,0,2,0,0,0,0,0,0,0,2
882664c841fffff,0,2,0,0,0,2,1,0,0,0,0,1,1,3
882664c843fffff,2,2,1,0,2,5,2,1,1,0,0,1,6,4
882664c845fffff,0,2,0,1,0,0,1,0,0,0,1,0,0,3
882664c847fffff,0,3,4,0,0,5,1,1,0,0,0,0,3,1
882664c849fffff,3,2,1,0,1,3,2,1,0,0,0,0,2,3
882664c84bfffff,0,2,0,1,1,3,5,1,0,0,0,2,6,2
882664c84dfffff,0,2,7,0,1,4,0,2,0,0,0,0,2,1
882664c851fffff,0,3,3,0,0,1,0,0,0,0,0,0,0,1
882664c853fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
882664c855fffff,1,7,2,1,0,0,3,1,0,0,0,1,0,5
882664c857fffff,1,6,2,1,0,0,1,0,0,0,0,0,0,1
882664c859fffff,0,3,4,0,1,2,2,0,0,0,0,1,3,4
882664c85bfffff,1,6,3,0,2,2,4,0,0,0,0,0,2,4
882664c85dfffff,0,0,0,0,0,1,2,1,0,0,0,2,1,0
882664c861fffff,0,3,2,0,1,4,0,0,0,0,0,1,1,1
882664c865fffff,0,1,1,0,2,3,1,0,0,0,0,0,0,1
882664c869fffff,0,0,1,0,0,0,2,0,0,0,0,0,0,1
882664c86bfffff,1,2,0,0,0,1,0,0,0,0,0,0,2,3
882664c86dfffff,0,1,1,0,0,0,0,1,0,0,0,1,0,0
882664c881fffff,0,4,4,1,0,1,2,0,0,0,1,1,1,2
882664c883fffff,0,3,0,0,0,1,1,0,0,0,0,0,0,3
882664c887fffff,1,0,5,0,0,0,0,0,0,0,0,0,0,0
882664c889fffff,2,5,1,0,3,5,2,3,0,0,0,1,5,2
882664c88bfffff,0,5,5,1,1,3,5,0,0,0,0,0,1,3
882664c88dfffff,0,1,0,0,0,0,1,0,0,0,0,1,0,1
882664c891fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
882664c893fffff,0,0,1,0,1,0,4,0,0,0,0,1,1,2
882664c897fffff,0,0,0,0,0,1,0,0,0,0,0,0,0,0
882664c899fffff,1,0,1,0,0,0,1,0,0,0,0,0,1,2
882664c89bfffff,0,2,1,0,0,1,1,0,0,0,0,0,0,1
882664c8b7fffff,0,2,1,0,0,0,0,0,0,0,0,0,0,0
882664c8bbfffff,0,1,0,0,0,2,1,0,0,0,0,2,8,0
882664c8c1fffff,0,13,9,1,0,2,0,1,0,0,0,0,2,0
882664c8c3fffff,0,16,1,3,0,2,0,6,0,0,0,1,1,3
882664c8c5fffff,0,11,1,0,0,0,1,0,0,0,0,0,0,2
882664c8c7fffff,0,11,1,0,0,1,1,0,0,0,0,1,0,2
882664c8c9fffff,0,8,1,0,0,6,3,2,1,0,0,0,0,2
882664c8cbfffff,0,13,5,0,0,1,0,0,0,0,0,0,0,3
882664c8cdfffff,0,11,3,0,0,1,1,0,0,0,0,1,1,2
882664c8d1fffff,1,3,4,2,2,9,6,6,0,0,0,0,3,5
882664c8d3fffff,0,5,0,0,0,0,0,2,0,0,0,0,0,2
