geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031071200,0,2,3,7,3,32,6,1,1,0,6,5,3,2
17031071300,0,0,0,1,0,7,1,0,0,0,1,1,2,0
17031071400,0,5,1,69,3,20,3,1,2,0,1,2,3,2
17031071500,0,3,3,18,3,12,3,2,5,1,6,4,4,8
17031071600,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17031071700,0,2,0,0,0,0,0,0,0,0,2,0,0,1
17031071800,0,1,1,0,0,8,1,2,0,0,2,5,1,1
17031080100,0,1,0,4,0,0,0,1,0,1,0,0,0,1
17031080201,0,1,3,0,0,2,1,1,0,0,0,0,0,1
17031080202,0,2,0,0,0,4,1,1,0,1,3,0,1,0
17031080300,0,1,2,1,3,38,9,5,0,2,9,12,11,1
17031080400,0,2,1,1,0,6,2,4,0,0,0,4,2,3
17031081000,7,5,5,1,2,15,1,2,0,0,0,1,0,4
17031081100,0,2,1,0,2,18,2,1,0,1,5,0,4,1
17031081201,6,2,2,4,4,34,3,2,0,10,3,1,70,0
17031081202,0,1,0,1,1,10,0,1,0,2,2,1,5,2
17031081300,0,1,1,6,2,22,1,1,2,7,2,4,28,3
17031081401,0,2,4,3,1,28,1,6,1,10,2,0,10,3
17031081402,0,8,0,34,1,23,3,0,6,1,13,10,4,20
17031081403,0,4,2,18,5,42,6,6,4,9,8,8,11,10
17031081500,0,2,1,6,1,68,5,3,1,17,17,8,34,11
17031081600,0,0,1,2,2,38,6,1,1,7,14,3,1,2
17031081700,1,5,1,2,3,88,6,4,0,12,27,7,8,4
17031081800,1,4,1,15,3,57,5,5,0,1,15,11,17,13
17031081900,0,0,0,0,1,3,0,1,0,0,0,4,3,2
17031090100,2,1,2,0,0,5,0,0,0,0,0,0,0,0
17031090200,0,2,1,0,0,6,1,0,0,0,1,2,1,1
17031090300,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17031100100,0,2,2,0,4,9,3,0,0,1,2,6,0,4
17031100200,3,4,4,0,4,6,4,5,3,0,6,7,7,3
17031100300,0,13,5,1,0,2,0,0,0,0,0,0,0,0
17031100400,0,0,0,0,1,0,1,2,0,0,0,0,1,0
