h3_index,poi_count,count_poi_types,poi_type_list,poi_list
882664cd67fffff,37,25,"supermarket, supermarket, fast_food, mobile_phone, variety_store, beauty, fast_food, hairdresser_supply, clothes, video_games, restaurant, nutrition_supplements, bicycle_rental, hairdresser, marketplace, mobile_phone, hairdresser_supply, pawnbroker, ice_cream, bank, fast_food, fast_food, place_of_worship, bank, library, convenience, restaurant, restaurant, restaurant, fast_food, motel, shelter, car_wash, fuel, fast_food, bus_station, car_parts","Jewel-Osco, Cermak Fresh Market, Chipotle, Metro by T-Mobile, Dollar Tree, Lux Nail Studio, Subway, Sally Beauty, Discovery Clothing Company, GameStop, El Taconazo, GNC, Pulaski Rd & 51st St, Made Barber Lounge, Super Mall, Metro by T-Mobile, CosmoProf, Casa de Empeno, La Michoacana Premium, Chase, Mr. Submarine, Domino's, Midway Church of God, PNC Bank, Archer Heights Branch Library, Citgo, Giordano's Pizzeria, Red Lobster, Restaurante Cocula, McDonald's, Midway Inn, Citgo, Citgo, Taco Bell, Pulaski Orange Line Station, AutoZone"
882664cd69fffff,8,8,"bar, cannabis, car_wash, dentist, fuel, car, restaurant, convenience","Michael’s Sport Lounge, Maribis of Chicago, BP, Premiere Family Dental- Archer, BP, Carfect, Leon's BBQ, BP Shop"
882664cd6bfffff,17,14,"supermarket, restaurant, bar, variety_store, fast_food, clinic, post_office, car_parts, department_store, variety_store, restaurant, car_parts, bicycle_rental, dentist, pawnbroker, bus_station, shelter","Aldi, Coco Club, MaddAnthonys Bar & Grill, Dollar Tree, Little Caesars, ACCESS Kedzie Family Health Center, Elsdon Post Office, AutoZone, TJ Maxx, Family Dollar, Chuck E. Cheese, O'Reilly Auto Parts, Kedzie Ave & 48th Pl, Sonrisa Family Dental, Cash America Pawn, Kedzie Orange Line Station"
882664cd6dfffff,21,16,"bicycle_rental, fast_food, mobile_phone, fast_food, fast_food, optician, charging_station, fire_station, doityourself, bank, storage_rental, supermarket, department_store, bank, supermarket, convenience, laundry, car_parts, bank, fuel, car_wash","Pulaski Rd & Ann Lurie Pl, Wingstop, Cricket Wireless, Subway, Pizza Hut Delivery, Visionworks, Tesla Supercharger, Chicago Fire Department Engine Company 34, Lowe's, First American Bank, Extra Space Storage, Pete's Market, Target, United Credit Union, Aldi, BP Shop, The Blue Kanagaroo Laundromat, Advance Auto Parts, Chase, BP, BP"
882664cd81fffff,20,12,"school, place_of_worship, mobile_phone, rental, ice_cream, bicycle_rental, place_of_worship, bank, car_rental, place_of_worship, place_of_worship, storage_rental, place_of_worship, convenience, place_of_worship, fuel, fuel, school, convenience, fast_food","Saint Ethelreda School, Mount Helm Missionary Baptist Church, Boost Mobile, U-Haul, Baskin-Robbins, Paulina St & 87th St, New Nation Anoited Ministries, United Fidelity Bank, Enterprise, Saint Ethelreda Church, Christian Youth Missionary Baptist Church, U-Haul, Beverly Congregational Jehovah Witnesses, BP Shop, Memorial Missionary Baptist Church, Phillips 66, BP, Foster Park Elementary School, Dunkin'"
882664cd83fffff,9,6,"place_of_worship, place_of_worship, bicycle_rental, car_parts, motel, convenience, place_of_worship, place_of_worship, fuel","Stratford Revival Center Southside Move of God Church, School of Wisdom of Truth Class, Loomis St & 89th St, AutoZone, New Budget Motel, Cross Temple Church of God in Christ, Shiloah Baptist Church, Amstar"
882664cd85fffff,20,7,"place_of_worship, kindergarten, picnic_site, picnic_site, picnic_site, picnic_site, picnic_site, picnic_site, picnic_site, bicycle_rental, place_of_worship, picnic_site, information, picnic_site, picnic_site, picnic_site, picnic_site, school, bus_station, bus_station","Eightyseventh Street Church of Christ, Three Kittens Day Nursery and Kindergarten, Dan Ryan Woods East Picnic Grove 13, Dan Ryan Woods East Picnic Grove 14, Dan Ryan Woods East Picnic Grove 9, Dan Ryan Woods South Picnic Grove 14, Dan Ryan Woods West Picnic Grove 6, Dan Ryan Woods West Picnic Grove 7, Dan Ryan Woods West Picnic Grove 8, Damen Ave & 87th St, Greater Walters African Methodist Episcopal Zion Church, Dan Ryan Woods West Picnic Shelter Grove 5, Dan Ryan Woods Visitor Center, Dan Ryan Woods Central Picnic Shelter Grove 4, Dan Ryan Woods Central Picnic Shelter Grove 3, Dan Ryan Woods Central Picnic Shelter Grove 2, Dan Ryan Woods East Picnic Shelter Grove 10, Damen & 87th Street Terminal, 87th Street & Western Terminal"
882664cd87fffff,4,3,"bar, bicycle_rental, shelter, shelter","Wild Blossom Meadery & Winery, Prospect Sq & 91st St"
882664cd89fffff,14,8,"place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, bicycle_rental, fire_station, post_office, variety_store, fast_food, fast_food, school, school, shelter","Pillars of Jerusalem Missionary Baptist Church, Everlasting Gospel Mission, Holiness is the Way Gospel Temple, Mount Carmel Children of God Church, Saint Mark Pentecostal Church of Holiness, Loomis St & 84th St, Chicago Fire Department Engine Company 129, Auburn Park Post Office, Dollar General, Wendy's, McDonald's, Cook Elementary School, Cuffe Elementary School"
882664cd8bfffff,18,9,"place_of_worship, place_of_worship, school, school, laundry, library, place_of_worship, variety_store, convenience, convenience, supermarket, convenience, place_of_worship, fuel, fuel, fuel, school, bus_station","Evangelist Temple, Progressive Beulah Pentecostal Church, L H Day School, Lenas Artistic Beauty College, Mr. Bubbles Laundromat, Brainerd Branch Library, Saint Kilian Roman Catholic Church, Family Dollar, Marathon, Citgo, Pete's Produce, BP Shop, Community of Christ, Citgo, Marathon, BP, Saint Kilian School, Racine & 87th Street Terminal"
